Ticker,Name,ISIN,URL,KGV_1,KUV_1,Datum_1,KGV_2,KUV_2,Datum_2
S188,,,https://www.boerse.de/aktien/smt-scharf/DE000A3DRAE2,,,,,,
SHF,,,https://www.boerse.de/aktien/snp-schneider-neureither/DE0007203705,,,,,,
SYT,,,https://www.boerse.de/aktien/softing-ag/DE0005178008,,,,,,
SPG,,,https://www.boerse.de/aktien/springer-nature-ag-co/DE000SPG1003,,,,,,
STM,,,https://www.boerse.de/aktien/stabilus-se-inh-eo-01/DE000STAB1L8,,,,,,
SBS,,,https://www.boerse.de/aktien/stratec-se-na/DE000STRA555,,,,,,
SAX,,,https://www.boerse.de/aktien/stroeer-se-co/DE0007493991,,,,,,
SZU,,,https://www.boerse.de/aktien/suedzucker-ag/DE0007297004,,,,,,
SUR,,,https://www.boerse.de/aktien/surteco-group-se/DE0005176903,,,,,,
SMHN,,,https://www.boerse.de/aktien/suss-microtec/DE000A1K0235,,,,,,
SY1,,,https://www.boerse.de/aktien/symrise-ag/DE000SYM9999,,,,,,
SYZ,,,https://www.boerse.de/aktien/syzygy-ag/DE0005104806,,,,,,
TEG,,,https://www.boerse.de/aktien/tag-immobilien/DE0008303504,,,,,,
TTK,,,https://www.boerse.de/aktien/takkt-ag/DE0007446007,,,,,,
TLX,,,https://www.boerse.de/aktien/talanx-ag-na/DE000TLX1005,,,,,,
TMV,,,https://www.boerse.de/aktien/teamviewer-se/DE000A2YN900,,,,,,
TTR1,,,https://www.boerse.de/aktien/technotrans-se-na/DE000A0XYGA7,,,,,,
TKA,,,https://www.boerse.de/aktien/thyssenkrupp-ag/DE0007500001,,,,,,
NCH2,,,https://www.boerse.de/aktien/thyssenkrupp-nucera-ag/DE000NCA0001,,,,,,
TKMS,,,https://www.boerse.de/aktien/tkms-ag-co-kgaa/DE000TKMS001,,,,,,
8TRA,,,https://www.boerse.de/aktien/traton-se/DE000TRAT0N7,,,,,,
TUI1,,,https://www.boerse.de/aktien/tui/DE000TUAG505,,,,,,
UN01,,,https://www.boerse.de/aktien/uniper-se-na/DE000UNSE026,,,,,,
ULC,,,https://www.boerse.de/aktien/united-labels/DE0005489561,,,,,,
UTDI,,,https://www.boerse.de/aktien/utd-internet-ag/DE0005089031,,,,,,
VBK,,,https://www.boerse.de/aktien/verbio-se-on/DE000A0JL9W6,,,,,,
VIB3,,,https://www.boerse.de/aktien/villeroy-boch-ag/DE0007657231,,,,,,
V6C,,,https://www.boerse.de/aktien/viscom/DE0007846867,,,,,,
VOW,,,https://www.boerse.de/aktien/volkswagen-ag-st/DE0007664005,,,,,,
VOW3,,,https://www.boerse.de/aktien/volkswagen-ag-vzo/DE0007664039,,,,,,
VTAG,,,https://www.boerse.de/aktien/voltatron/DE000A2E4LE9,,,,,,
VNA,,,https://www.boerse.de/aktien/vonovia-se-na/DE000A1ML7J1,,,,,,
VOS,,,https://www.boerse.de/aktien/vossloh-ag/DE0007667107,,,,,,
VUL,,,https://www.boerse.de/aktien/vulcan-energy-resources-limited/AU0000066086,,,,,,
WCH,,,https://www.boerse.de/aktien/wacker-chemie-ag/DE000WCH8881,,,,,,
WAC,,,https://www.boerse.de/aktien/wacker-neuson-se-na/DE000WACK012,,,,,,
WSU,,,https://www.boerse.de/aktien/washtec-ag/DE0007507501,,,,,,
WEW,,,https://www.boerse.de/aktien/westwing-group/DE000A2N4H07,,,,,,
WUW,,,https://www.boerse.de/aktien/wuestenrot-wuerttembergische-ag/DE0008051004,,,,,,
YOC,,,https://www.boerse.de/aktien/yoc-ag/DE0005932735,,,,,,
ZAL,,,https://www.boerse.de/aktien/zalando/DE000ZAL1111,,,,,,
TIMA,,,https://www.boerse.de/aktien/zeal-network-se-na/DE000ZEAL241,,,,,,
2INV,,,https://www.boerse.de/aktien/2invest-ag-na/DE000A3H3L44,,,,,,
HRPK,,,https://www.boerse.de/aktien/7c-solarparken-ag/DE000A11QW68,,,,,,
LUM,,,https://www.boerse.de/aktien/a-i-s/DE0006492903,,,,,,
ACWN,,,https://www.boerse.de/aktien/a-s-creation-tapeten/DE000A1TNNN5,,,,,,
AAQ1,,,https://www.boerse.de/aktien/aap-implantate/DE000A3H2101,,,,,,
A4Y,,,https://www.boerse.de/aktien/accentro-real-estate-ag/DE000A40ZVK3,,,,,,
ADV,,,https://www.boerse.de/aktien/adtran-networks-se/DE0005103006,,,,,,
AHH,,,https://www.boerse.de/aktien/ahlers-ag-na/DE0005009740,,,,,,
ALG,,,https://www.boerse.de/aktien/albis-leasing-ag/DE0006569403,,,,,,
AEIN,,,https://www.boerse.de/aktien/allgeier-se-na/DE000A2GS633,,,,,,
AMA,,,https://www.boerse.de/aktien/altech-advanced-materials-na/DE000A31C3Y4,,,,,,
DTD2,,,https://www.boerse.de/aktien/b-s-banksysteme-ag/DE0001262152,,,,,,
BEZ,,,https://www.boerse.de/aktien/berentzen-gruppe/DE0005201602,,,,,,
BIJ,,,https://www.boerse.de/aktien/bijou-brigitte/DE0005229504,,,,,,
RTML,,,https://www.boerse.de/aktien/camerit/DE000HNC2059,,,,,,
CPX,,,https://www.boerse.de/aktien/capsensixx-ag/DE000A2G9M17,,,,,,
C0M,,,https://www.boerse.de/aktien/ccs-abwicklungs/DE000A2QDNX9,,,,,,
CNW,,,https://www.boerse.de/aktien/co-don-ag/DE000A3E5C08,,,,,,
CSQ,,,https://www.boerse.de/aktien/creditshelf-ag-ia/DE000A2LQUA5,,,,,,
DRE2,,,https://www.boerse.de/aktien/deutsche-real-estate-ag/DE0008055021,,,,,,
DWNI,,,https://www.boerse.de/aktien/deutsche-wohnen-se-inh/DE000A0HN5C6,,,,,,
DFTK,,,https://www.boerse.de/aktien/df-deutsche-forfait-ag-na/DE000A2AA204,,,,,,
DIE,,,https://www.boerse.de/aktien/dierig-holding-ag/DE0005580005,,,,,,
EIS,,,https://www.boerse.de/aktien/eisen-und-huettenwerke/DE0005658009,,,,,,
H2O,,,https://www.boerse.de/aktien/enapter-ag/DE000A255G02,,,,,,
EBK,,,https://www.boerse.de/aktien/enbw-energie-baden-wuerttemberg-on/DE0005220008,,,,,,
EKT,,,https://www.boerse.de/aktien/energiekontor/DE0005313506,,,,,,
ECX,,,https://www.boerse.de/aktien/epigenomics-ag-na/DE000A37FT41,,,,,,
FVI,,,https://www.boerse.de/aktien/fair-value-reit-ag-inh-on/DE000A0MW975,,,,,,
FC9,,,https://www.boerse.de/aktien/fcr-immobilien-ag-na/DE000A1YC913,,,,,,
FRS,,,https://www.boerse.de/aktien/foris/DE0005775803,,,,,,
CEA,,,https://www.boerse.de/aktien/friwo-ag/DE0006201106,,,,,,
WWG,,,https://www.boerse.de/aktien/gelsenwasser/DE0007760001,,,,,,
GGS,,,https://www.boerse.de/aktien/gigaset-ag/DE0005156004,,,,,,
IPOK,,,https://www.boerse.de/aktien/heidelberger-beteiligungsholding/DE000A254294,,,,,,
IFS,,,https://www.boerse.de/aktien/infas-holding-ag/DE0006097108,,,,,,
ITN,,,https://www.boerse.de/aktien/intertainment-ag/DE0006223605,,,,,,
IUR,,,https://www.boerse.de/aktien/kap-ag/DE0006208408,,,,,,
KWG,,,https://www.boerse.de/aktien/khd-humboldt-wedag/DE0006578008,,,,,,
HETA,,,https://www.boerse.de/aktien/khd-humboldt-wedag-vv-na/DE000A1X3WW8,,,,,,
KSC,,,https://www.boerse.de/aktien/kps-ag-na/DE000A1A6V48,,,,,,
LEOW,,,https://www.boerse.de/aktien/leo-international-precision-health/DE0005490601,,,,,,
TUF,,,https://www.boerse.de/aktien/libero-football-finance/DE000A161N22,,,,,,
LSX,,,https://www.boerse.de/aktien/ls-telcom/DE0005754402,,,,,,
MNV6,,,https://www.boerse.de/aktien/mainova-ag/DE0006553464,,,,,,
M5Z,,,https://www.boerse.de/aktien/manz/DE000A0JQ5U3,,,,,,
MBH3,,,https://www.boerse.de/aktien/maschinenfabrik-berthold-hermle-o-n/DE0006052830,,,,,,
MAK,,,https://www.boerse.de/aktien/maternus-kliniken-ag/DE0006044001,,,,,,
MDG1,,,https://www.boerse.de/aktien/medigene-ag-na/DE000A40ESG2,,,,,,
WOLF,,,https://www.boerse.de/aktien/meta-wolf-ag/DE000A254203,,,,,,
M3V,,,https://www.boerse.de/aktien/mevis-medical-solutions-na/DE000A0LBFE4,,,,,,
ML2,,,https://www.boerse.de/aktien/ming-le-sports/DE000A2LQ728,,,,,,
MLL,,,https://www.boerse.de/aktien/mueller-die-lila-logistik/DE0006214687,,,,,,
WDL,,,https://www.boerse.de/aktien/nakiki/DE000WNDL300,,,,,,
NXR,,,https://www.boerse.de/aktien/nexr-technologies-se/DE000A1K03W5,,,,,,
NC5A,,,https://www.boerse.de/aktien/norcom-information-technology-inh-on/DE000A12UP37,,,,,,
NWX,,,https://www.boerse.de/aktien/nordwest-handel/DE0006775505,,,,,,
OBS,,,https://www.boerse.de/aktien/orbis-se/DE0005228779,,,,,,
PA8,,,https://www.boerse.de/aktien/paion-o-n/DE000A3E5EG5,,,,,,
ICP,,,https://www.boerse.de/aktien/panamax-new-energy/DE000A1R1C81,,,,,,
PTHH,,,https://www.boerse.de/aktien/path2-hydrogen/DE000A1A6WB2,,,,,,
02P,,,https://www.boerse.de/aktien/pearl-gold/DE000A0AFGF3,,,,,,
PFV,,,https://www.boerse.de/aktien/pfeiffer-vacuum-tech-ag/DE0006916604,,,,,,
EMH,,,https://www.boerse.de/aktien/pferdewetten-de-ag-na-on/DE000A2YN777,,,,,,
PIT,,,https://www.boerse.de/aktien/pittler-maschinenfabrik/DE0006925001,,,,,,
P4O,,,https://www.boerse.de/aktien/planoptik/DE000A0HGQS8,,,,,,
PAH3,,,https://www.boerse.de/aktien/porsche-automobil-holding/DE000PAH0038,,,,,,
EXJ,,,https://www.boerse.de/aktien/readcrest-capital-ag/DE000A0LE3J1,,,,,,
RTC,,,https://www.boerse.de/aktien/realtech-ag/DE0007008906,,,,,,
HP3,,,https://www.boerse.de/aktien/ringmetall-se-na/DE000A3E5E55,,,,,,
3330,,,https://www.boerse.de/aktien/rostra/DE000A3MQRK6,,,,,,
RY8,,,https://www.boerse.de/aktien/roy-asset-hldg/DE000RYSE888,,,,,,
SWA,,,https://www.boerse.de/aktien/schloss-wachenheim-ag-o-n/DE0007229007,,,,,,
SCE,,,https://www.boerse.de/aktien/schweizer-electronic-na/DE0005156236,,,,,,
SIM,,,https://www.boerse.de/aktien/simona-ag/DE000A3E5CP0,,,,,,
SGU,,,https://www.boerse.de/aktien/sino-german-united-ag/DE000SGU8886,,,,,,
WIG1,,,https://www.boerse.de/aktien/sporttotal-ag/DE000A1EMG56,,,,,,
STO3,,,https://www.boerse.de/aktien/sto-se-co-kgaa-vzo/DE0007274136,,,,,,
SF3,,,https://www.boerse.de/aktien/sts-group-ag/DE000A1TNU68,,,,,,
TCU,,,https://www.boerse.de/aktien/tc-unterhaltungselektronik/DE0007454209,,,,,,
PU11,,,https://www.boerse.de/aktien/the-social-chain/DE000A1YC996,,,,,,
TIS,,,https://www.boerse.de/aktien/tiscon-ag-i-a/DE000A409732,,,,,,
TTO,,,https://www.boerse.de/aktien/ttl-beteiligungs-und-grundbesitz-ag-inh-on/DE0007501009,,,,,,
UZU,,,https://www.boerse.de/aktien/uzin-utz-se/DE0007551509,,,,,,
MSH,,,https://www.boerse.de/aktien/wasgau-produktions-handels-na/DE0007016008,,,,,,
RKB,,,https://www.boerse.de/aktien/webac-holding/DE0008103102,,,,,,
WBAH,,,https://www.boerse.de/aktien/wild-bunch-ag/DE000A2TSU21,,,,,,
RTV,,,https://www.boerse.de/aktien/your-family-entertainment-ag/DE000A161N14,,,,,,
ZEF,,,https://www.boerse.de/aktien/zhongde-waste-technology/DE000ZDWT018,,,,,,
2GB,,,https://www.boerse.de/aktien/2g-energy/DE000A0HL8N9,,,,,,
ABX,,,https://www.boerse.de/aktien/advanced-blockchain/DE000A0M93V6,,,,,,
A6T,,,https://www.boerse.de/aktien/artec-technologies/DE0005209589,,,,,,
B7E,,,https://www.boerse.de/aktien/blue-cap/DE000A0JM2M1,,,,,,
HIGH,,,https://www.boerse.de/aktien/cantourage-group-se/DE000A3DSV01,,,,,,
CLIQ,,,https://www.boerse.de/aktien/cliq-digital-ag/DE000A35JS40,,,,,,
CYR,,,https://www.boerse.de/aktien/cyan-ag/DE000A2E4SV8,,,,,,
4DS,,,https://www.boerse.de/aktien/daldrup-soehne/DE0007830572,,,,,,
DAR,,,https://www.boerse.de/aktien/datron-ag/DE000A0V9LA7,,,,,,
DLX,,,https://www.boerse.de/aktien/delignit-ag/DE000A0MZ4B0,,,,,,
DR0,,,https://www.boerse.de/aktien/deutsche-rohstoff-ag-na/DE000A0XYG76,,,,,,
HXCK,,,https://www.boerse.de/aktien/ernst-russ-ag-na/DE000A161077,,,,,,
EXL,,,https://www.boerse.de/aktien/exasol-ag-na/DE000A0LR9G9,,,,,,
GME,,,https://www.boerse.de/aktien/geratherm/DE0005495626,,,,,,
IBU,,,https://www.boerse.de/aktien/ibu-tec-advanced-materials-inh-on/DE000A0XYHT5,,,,,,
1INN,,,https://www.boerse.de/aktien/innoscripta/DE000A40QVM8,,,,,,
JDC,,,https://www.boerse.de/aktien/jdc-group-ag/DE000A0B9N37,,,,,,
LQAG,,,https://www.boerse.de/aktien/laiqon-ag/DE000A12UP29,,,,,,
MUM,,,https://www.boerse.de/aktien/mensch-und-maschine-software/DE0006580806,,,,,,
MPCK,,,https://www.boerse.de/aktien/mpc-muenchmeyer-petersen-capital/DE000A1TNWJ4,,,,,,
C1V,,,https://www.boerse.de/aktien/mvise-ag/DE000A0KE043,,,,,,
NTG,,,https://www.boerse.de/aktien/nabaltec-ag-inh/DE000A0KPPR7,,,,,,
NUVA,,,https://www.boerse.de/aktien/noratis-ag/DE000A2E4MK4,,,,,,
NBG6,,,https://www.boerse.de/aktien/nuernberger-beteiligungs-ag-vna/DE0008435967,,,,,,
M7U,,,https://www.boerse.de/aktien/nynomic-ag/DE000A0MSN11,,,,,,
VVV3,,,https://www.boerse.de/aktien/oekoworld-ag-vzna/DE0005408686,,,,,,
PAL,,,https://www.boerse.de/aktien/pal-next/DE000A12UPJ7,,,,,,
PFSE,,,https://www.boerse.de/aktien/pfisterer-holding/DE000PFSE212,,,,,,
VEZ,,,https://www.boerse.de/aktien/planethic-group/DE000A3E5ED2,,,,,,
M3BK,,,https://www.boerse.de/aktien/pyramid/DE000A40ZWM7,,,,,,
PYR,,,https://www.boerse.de/aktien/pyrum-innovations/DE000A2G8ZX8,,,,,,
PZS,,,https://www.boerse.de/aktien/scherzer-u-co-ag/DE0006942808,,,,,,
PGH,,,https://www.boerse.de/aktien/the-payments-group-holding-gmbh-co/DE000A1MMEV4,,,,,,
TPG,,,https://www.boerse.de/aktien/the-platform-group-se-co/DE000A40ZW88,,,,,,
TIW,,,https://www.boerse.de/aktien/tin-inn-hldg-ag-vna/DE000A40ZTT8,,,,,,
UBK,,,https://www.boerse.de/aktien/umweltbank/DE0005570808,,,,,,
CFC,,,https://www.boerse.de/aktien/aconnic/DE000A0LBKW6,,,,,,
ADC,,,https://www.boerse.de/aktien/adcapital/DE0005214506,,,,,,
OEL,,,https://www.boerse.de/aktien/adm-hamburg-ag/DE0007269003,,,,,,
3ITN,,,https://www.boerse.de/aktien/audius/DE000A40ET13,,,,,,
BFV,,,https://www.boerse.de/aktien/berl-effektenges-ag/DE0005221303,,,,,,
MA1,,,https://www.boerse.de/aktien/binect/DE000A3H2135,,,,,,
T5O,,,https://www.boerse.de/aktien/bioxxmed/DE000A41YD32,,,,,,
CTNK,,,https://www.boerse.de/aktien/centrotherm-international/DE000A1TNMM9,,,,,,
CEK,,,https://www.boerse.de/aktien/ceotronics-ag/DE0005407407,,,,,,
CGX,,,https://www.boerse.de/aktien/cgre/DE000A0N3EU3,,,,,,
CHG,,,https://www.boerse.de/aktien/chapters-group/DE0006618309,,,,,,
CORE,,,https://www.boerse.de/aktien/coreo/DE000A40KYB8,,,,,,
CRZK,,,https://www.boerse.de/aktien/cr-energy/DE000A2GS625,,,,,,
D6H,,,https://www.boerse.de/aktien/datagroup-se/DE000A0JC8S7,,,,,,
AJ91,,,https://www.boerse.de/aktien/doccheck-ag/DE000A1A6WE6,,,,,,
EFF,,,https://www.boerse.de/aktien/dt-eff-u-wech-bet-g-o-n/DE000A41YCR9,,,,,,
EDL,,,https://www.boerse.de/aktien/edel-se-co-kgaa/DE0005649503,,,,,,
E8X,,,https://www.boerse.de/aktien/elexxion/DE000A0KFKH0,,,,,,
ETG,,,https://www.boerse.de/aktien/envitec-biogas/DE000A0MVLS8,,,,,,
ERWE,,,https://www.boerse.de/aktien/erwe-immobilien-ag/DE000A1X3WX6,,,,,,
ENG,,,https://www.boerse.de/aktien/ev-digital-invest-ag-engel-voelkers-digital-invest/DE000A40ZVZ1,,,,,,
FF24,,,https://www.boerse.de/aktien/fast-finance24-holding/DE000A1PG508,,,,,,
U1DA,,,https://www.boerse.de/aktien/finchain-capital-partners/DE000A3MQC96,,,,,,
U1D,,,https://www.boerse.de/aktien/finchain-cap-part-jge/DE000A0LA361,,,,,,
NLM,,,https://www.boerse.de/aktien/frosta-ag-akt/DE0006069008,,,,,,
INW,,,https://www.boerse.de/aktien/gbs-software/DE000A3MQR99,,,,,,
A7A,,,https://www.boerse.de/aktien/heliad/DE0001218063,,,,,,
HMU,,,https://www.boerse.de/aktien/hms-bergbau/DE0006061104,,,,,,
HG1,,,https://www.boerse.de/aktien/homag-group/DE0005297204,,,,,,
H9W,,,https://www.boerse.de/aktien/hwa-ag/DE000A0LR4P1,,,,,,
KSW,,,https://www.boerse.de/aktien/kst-beteiligungs-ag/DE000A161309,,,,,,
LUS,,,https://www.boerse.de/aktien/lang-schwarz-ag/DE000LS1LUS9,,,,,,
LEH,,,https://www.boerse.de/aktien/lampetia/DE000A2DA406,,,,,,
M12,,,https://www.boerse.de/aktien/m1-kliniken-ag-m1-beauty-ag/DE000A0STSQ8,,,,,,
AMI,,,https://www.boerse.de/aktien/medondo-holding/DE0008131350,,,,,,
MUT3,,,https://www.boerse.de/aktien/mineralbr-ueberk-vz/DE0006614035,,,,,,
MUT,,,https://www.boerse.de/aktien/mineralbr-ueberkingen/DE0006614001,,,,,,
MBQ,,,https://www.boerse.de/aktien/mobotix-ag/DE0005218309,,,,,,
ECF,,,https://www.boerse.de/aktien/mountain-alliance-na-o-n/DE000A12UK08,,,,,,
93M,,,https://www.boerse.de/aktien/mph-health-care-ag-mph-mitt-pharma-hldg/DE000A289V03,,,,,,
MUB,,,https://www.boerse.de/aktien/muehlbauer-hold-ag/DE0006627201,,,,,,
NN6,,,https://www.boerse.de/aktien/nanorepro/DE0006577109,,,,,,
PKB,,,https://www.boerse.de/aktien/park-u-bellheimer-ag/DE0006902000,,,,,,
PHH2,,,https://www.boerse.de/aktien/paul-hartmann-ag/DE0007474041,,,,,,
QB7,,,https://www.boerse.de/aktien/quirin-bank/DE0005202303,,,,,,
RCMN,,,https://www.boerse.de/aktien/rcm-beteiligungs-na/DE000A1RFMY4,,,,,,
RGB,,,https://www.boerse.de/aktien/regenbogen-ag/DE0008009564,,,,,,
SMB,,,https://www.boerse.de/aktien/schwaelbchen-molkerei-ag-o-n/DE0007218901,,,,,,
T3T,,,https://www.boerse.de/aktien/seven-principles-ag/DE000A2AAA75,,,,,,
SVE,,,https://www.boerse.de/aktien/sharehold-val-bet-na/DE000A168205,,,,,,
SMWN,,,https://www.boerse.de/aktien/sm-wirtschaftsber-ag-o-n/DE000A1RFMZ1,,,,,,
SB1,,,https://www.boerse.de/aktien/smartbroker-holding/DE000A2GS609,,,,,,
SPT6,,,https://www.boerse.de/aktien/beta-systems-software/DE000A0NK3W4,,,,,,
ST5,,,https://www.boerse.de/aktien/steico/DE000A0LR936,,,,,,
N4G,,,https://www.boerse.de/aktien/the-naga-group-ag-na/DE000A41YCM0,,,,,,
T2G,,,https://www.boerse.de/aktien/tradegate-ag-wertpapierhandelsbank/DE0005216907,,,,,,
UMD,,,https://www.boerse.de/aktien/umt-utd-mob-techn-ag/DE000A40ZVU2,,,,,,
VG80,,,https://www.boerse.de/aktien/varengold-bank/DE000A40ZUV2,,,,,,